"Ano","Soja","Cana","Arroz","Algodão","Outras Lavouras Temporárias","Café","Citros","Dendê","Outras Lavouras Perenes"
"1985","4.488.282","2.153.481","385.027"," - ","10.810.783","494.492","100.243","14.809","180.568"
"1986","6.485.238","2.303.577","337.480"," - ","9.106.053","594.429","82.844","24.013","186.429"
"1987","8.425.219","2.452.526","456.308"," - ","8.568.481","619.662","70.469","29.929","125.180"
"1988","9.663.322","2.702.093","478.541"," - ","8.545.637","630.082","72.820","31.479","96.278"
"1989","9.994.559","2.907.428","400.216"," - ","9.575.248","626.653","72.841","33.353","99.190"
"1990","10.560.639","3.056.566","265.462"," - ","10.713.990","599.860","75.789","37.772","93.208"
"1991","10.949.230","3.205.586","200.923"," - ","12.353.809","562.121","75.176","37.402","90.448"
"1992","11.045.731","3.350.704","318.003"," - ","12.708.006","541.602","79.332","38.309","97.011"
"1993","11.469.311","3.617.204","477.593"," - ","12.850.061","544.055","96.485","41.913","104.995"
"1994","12.131.198","3.783.244","231.563"," - ","13.069.151","544.653","119.390","47.831","120.235"
"1995","12.422.641","3.938.170","257.003"," - ","13.292.977","560.393","130.341","55.931","129.544"
"1996","12.710.906","4.167.301","299.637"," - ","13.602.642","571.586","139.349","53.787","138.209"
"1997","12.836.759","4.290.560","515.452"," - ","13.668.022","578.421","151.314","54.498","145.344"
"1998","13.194.190","4.338.015","316.796"," - ","13.998.072","599.984","157.116","60.560","156.804"
"1999","14.284.252","4.438.364","590.244"," - ","13.348.979","675.315","179.280","63.479","217.938"
"2000","15.998.225","4.471.962","697.911","9.195","12.407.460","751.099","203.974","67.890","244.846"
"2001","16.020.253","4.511.342","558.814","28.891","13.579.159","774.971","209.607","70.230","267.596"
"2002","17.392.376","4.823.173","540.324","82.664","12.790.800","779.216","228.029","70.171","282.146"
"2003","18.443.233","5.086.165","408.550","37.660","12.461.279","767.229","236.501","74.698","295.464"
"2004","19.992.213","5.400.662","658.007","52.517","12.246.807","800.847","257.374","78.131","314.552"
"2005","22.352.307","5.696.230","717.515","70.567","11.447.687","814.073","269.986","81.090","338.899"
"2006","22.987.943","6.046.171","705.684","108.445","12.370.833","834.758","276.122","81.765","356.024"
"2007","23.037.760","6.737.929","823.312","142.376","13.000.705","847.795","284.089","85.310","375.543"
"2008","22.453.127","7.696.805","720.746","167.010","14.104.044","853.524","281.253","85.215","397.848"
"2009","23.119.200","8.308.448","932.614","152.503","13.789.884","859.847","279.591","90.939","418.300"
"2010","24.406.363","8.594.043","806.105","131.902","13.295.044","887.470","293.503","101.503","422.984"
"2011","24.695.789","8.875.396","687.136","155.457","13.434.435","945.227","311.601","108.401","429.470"
"2012","25.895.281","9.242.626","699.795","125.561","12.909.488","1.006.515","323.884","109.401","434.595"
"2013","26.331.591","9.782.799","547.022","55.157","14.006.296","1.092.328","349.221","155.651","444.743"
"2014","28.271.852","10.255.549","866.309","108.001","13.312.358","1.154.151","359.144","171.877","437.129"
"2015","30.734.022","10.525.058","1.089.269","128.776","12.189.088","1.204.724","374.500","199.050","453.401"
"2016","32.404.651","10.635.446","1.139.943","84.496","11.894.658","1.209.355","386.719","211.213","456.786"
"2017","34.764.469","10.677.987","1.224.404","118.546","11.007.203","1.205.075","391.081","223.726","461.650"
"2018","35.795.665","10.662.086","1.224.897","136.078","10.503.111","1.207.405","389.785","234.479","472.147"
"2019","36.588.999","10.533.415","1.241.571","102.193","10.524.061","1.224.426","395.357","231.892","518.030"
"2020","37.021.116","10.597.799","1.249.384","193.530","10.592.461","1.238.149","396.454","235.656","576.182"
"2021","38.010.300","10.513.686","1.349.547","219.854","9.862.137","1.243.837","398.631","239.537","575.943"
"2022","39.203.556","10.520.412","1.448.295","260.081","8.767.221","1.235.181","392.092","241.764","572.442"
"2023","39.801.724","10.287.712","1.301.538","263.952","8.580.107","1.237.932","391.575","241.849","571.954"
"2024","40.727.092","10.080.443","1.126.170","157.200","8.123.635","1.237.622","397.740","241.832","570.679"
