"Ano","Área Urbanizada"
"1985","1.801.025"
"1986","1.868.109"
"1987","1.914.950"
"1988","1.988.475"
"1989","2.057.499"
"1990","2.126.591"
"1991","2.200.356"
"1992","2.284.921"
"1993","2.369.809"
"1994","2.462.878"
"1995","2.569.642"
"1996","2.676.119"
"1997","2.758.130"
"1998","2.836.669"
"1999","2.915.588"
"2000","2.986.290"
"2001","3.043.615"
"2002","3.099.678"
"2003","3.155.190"
"2004","3.207.612"
"2005","3.253.690"
"2006","3.300.443"
"2007","3.349.186"
"2008","3.405.840"
"2009","3.467.384"
"2010","3.531.448"
"2011","3.602.943"
"2012","3.683.321"
"2013","3.766.226"
"2014","3.840.716"
"2015","3.914.749"
"2016","3.989.534"
"2017","4.065.806"
"2018","4.138.762"
"2019","4.213.089"
"2020","4.286.661"
"2021","4.360.961"
"2022","4.437.083"
"2023","4.483.298"
"2024","4.547.842"
